  Angolo [rad]	Periodo [s]   
           0.1	2.0073214
           0.2	2.0110933
           0.3	2.0174091
           0.4	2.0263134
           0.5	2.0378677
           0.6	2.0521566
           0.7	2.0692847
           0.8	2.0893812
           0.9	2.1126028
           1.0	2.1391375
           1.1	2.1692090
           1.2	2.2030827
           1.3	2.2410742
           1.4	2.2835593
           1.5	2.3309868
           1.6	2.3838961
           1.7	2.4429402
           1.8	2.5089176
           1.9	2.5828151
           2.0	2.6658708
           2.1	2.7596635
           2.2	2.8662475
           2.3	2.9883659
           2.4	3.1297934
           2.5	3.2959325
           2.6	3.4949131
           2.7	3.7398272
           2.8	4.0538680
           2.9	4.4845820
           3.0	5.1580670
