        ω [Hz]	Ampiezza [m]  
          9.01	0.055312613
          9.06	0.058435677
          9.11	0.061433676
          9.16	0.065428108
          9.21	0.069135823
          9.26	0.074439247
          9.31	0.079902022
          9.36	0.086671352
          9.41	0.093976526
          9.46	0.103591678
          9.51	0.114312060
          9.56	0.128937200
          9.61	0.146182223
          9.66	0.171004463
          9.71	0.203120780
          9.76	0.251098643
          9.81	0.322386463
          9.86	0.434542823
          9.91	0.584133830
          9.96	0.622486846
         10.01	0.481652699
         10.06	0.348215723
         10.11	0.267258002
         10.16	0.212047762
         10.21	0.176149356
         10.26	0.149165720
         10.31	0.129889992
         10.36	0.114188764
         10.41	0.102407357
         10.46	0.092186372
         10.51	0.083201619
         10.56	0.077112541
         10.61	0.070596611
         10.66	0.066167676
         10.71	0.061280364
         10.76	0.057869529
         10.81	0.054092215
         10.86	0.051333712
         10.91	0.048215540
         10.96	0.046101042
         11.01	0.043584425
