The frequencies to be sampled are: [9.01, 9.11, 9.21, 9.31, 9.41, 9.51, 9.61, 9.71, 9.81, 9.91, 10.01, 10.11, 10.21, 10.31, 10.41, 10.51, 10.61, 10.71, 10.81, 10.91, 11.01]
t0 = 300.0400, angle = 0.0532, speed = 0.0013, t0 + δt = 300.0403, angle = 0.0532, speed = -0.0000
t0 = 300.1900, angle = 0.0591, speed = 0.0229, t0 + δt = 300.1947, angle = 0.0591, speed = -0.0000
t0 = 300.3400, angle = 0.0658, speed = 0.0330, t0 + δt = 300.3459, angle = 0.0659, speed = 0.0000
t0 = 300.1500, angle = -0.0744, speed = -0.0498, t0 + δt = 300.1577, angle = -0.0746, speed = -0.0000
t0 = 300.3000, angle = -0.0869, speed = -0.0601, t0 + δt = 300.3078, angle = -0.0871, speed = -0.0000
t0 = 300.1200, angle = 0.1050, speed = 0.0327, t0 + δt = 300.1234, angle = 0.1051, speed = -0.0000
t0 = 300.2600, angle = 0.1307, speed = 0.1147, t0 + δt = 300.2695, angle = 0.1312, speed = 0.0000
t0 = 300.0900, angle = -0.1740, speed = -0.0074, t0 + δt = 300.0905, angle = -0.1740, speed = 0.0000
t0 = 300.2300, angle = -0.2624, speed = -0.1977, t0 + δt = 300.2378, angle = -0.2632, speed = -0.0000
t0 = 300.0700, angle = 0.5499, speed = 0.0681, t0 + δt = 300.0713, angle = 0.5499, speed = -0.0001
t0 = 300.0900, angle = -2.5868, speed = -0.0345, t0 + δt = 300.0901, angle = -2.5868, speed = 0.0001
t0 = 300.3100, angle = -0.4463, speed = -0.2590, t0 + δt = 300.3157, angle = -0.4470, speed = -0.0000
t0 = 300.1500, angle = 0.2333, speed = 0.0256, t0 + δt = 300.1511, angle = 0.2333, speed = -0.0000
t0 = 300.2900, angle = 0.1581, speed = 0.0021, t0 + δt = 300.2901, angle = 0.1581, speed = -0.0000
t0 = 300.1200, angle = -0.1201, speed = -0.0333, t0 + δt = 300.1226, angle = -0.1201, speed = 0.0000
t0 = 300.2500, angle = -0.0958, speed = -0.0646, t0 + δt = 300.2561, angle = -0.0960, speed = -0.0000
t0 = 300.0900, angle = 0.0791, speed = 0.0135, t0 + δt = 300.0915, angle = 0.0791, speed = -0.0000
t0 = 300.2200, angle = 0.0675, speed = 0.0309, t0 + δt = 300.2240, angle = 0.0675, speed = -0.0000
t0 = 300.0600, angle = -0.0595, speed = -0.0197, t0 + δt = 300.0628, angle = -0.0595, speed = 0.0000
t0 = 300.1900, angle = -0.0529, speed = -0.0100, t0 + δt = 300.1916, angle = -0.0529, speed = 0.0000
t0 = 300.0300, angle = 0.0471, speed = 0.0158, t0 + δt = 300.0328, angle = 0.0471, speed = -0.0000
